timestamp,canal,usuario,ip,transaction_id,tipo,cuenta,estado,valor
2025-05-13 08:00:10,mobile,user65,198.81.20.19,txn-0000,consignar,ahorros,completada,429947.36
2025-05-13 08:00:11,mobile,user94,92.100.49.61,txn-0001,retirar,ahorros,completada,1466275.85
2025-05-13 08:00:12,mobile,user93,35.10.214.169,txn-0002,transferir,ahorros,completada,3764977.62
2025-05-13 08:00:13,api,user39,155.165.170.170,txn-0003,transferir,corriente,completada,4780695.73
2025-05-13 08:00:14,mobile,user88,137.102.49.12,txn-0004,transferir,ahorros,completada,3808884.49
2025-05-13 08:00:15,mobile,user92,125.126.156.72,txn-0005,retirar,ahorros,completada,3744519.61
2025-05-13 08:00:16,mobile,user37,183.205.52.219,txn-0006,consignar,corriente,completada,3576866.89
2025-05-13 08:00:17,mobile,user49,26.46.150.120,txn-0007,consignar,corriente,completada,1445980.53
2025-05-13 08:00:18,mobile,user34,180.91.122.212,txn-0008,consignar,ahorros,completada,3057736.85
2025-05-13 08:00:19,api,user58,208.65.106.126,txn-0009,retirar,corriente,completada,4642897.07
2025-05-13 08:00:20,mobile,user40,176.10.163.171,txn-0010,retirar,corriente,completada,982350.4
2025-05-13 08:00:21,mobile,user2,184.94.171.22,txn-0011,transferir,ahorros,completada,28445.61
2025-05-13 08:00:22,web,user59,213.39.242.242,txn-0012,transferir,corriente,completada,3554222.54
2025-05-13 08:00:23,mobile,user24,25.227.129.2,txn-0013,retirar,corriente,completada,3718731.89
2025-05-13 08:00:25,mobile,user32,91.135.65.36,txn-0015,consignar,ahorros,completada,4465745.22
2025-05-13 08:00:26,mobile,user82,207.24.6.89,txn-0016,transferir,ahorros,completada,3291061.31
2025-05-13 08:00:27,web,user84,215.137.98.25,txn-0017,consignar,corriente,completada,3968892.7
2025-05-13 08:00:28,mobile,user76,80.28.145.241,txn-0018,consignar,corriente,completada,1249879.22
2025-05-13 08:00:29,api,user55,81.135.177.30,txn-0019,transferir,ahorros,completada,2816976.33
2025-05-13 08:00:30,mobile,user76,145.219.114.139,txn-0020,consignar,corriente,completada,3668131.31
2025-05-13 08:00:31,api,user45,62.241.212.87,txn-0021,transferir,ahorros,completada,743043.7
2025-05-13 08:00:32,mobile,user38,166.239.161.193,txn-0022,consignar,corriente,completada,2487061.19
2025-05-13 08:00:33,api,user49,140.14.195.73,txn-0023,consignar,corriente,completada,3816494.35
2025-05-13 08:00:34,mobile,user54,114.40.240.45,txn-0024,consignar,corriente,completada,1653585.45
2025-05-13 08:00:35,api,user95,4.228.215.26,txn-0025,consignar,ahorros,completada,2327387.32
2025-05-13 08:00:38,mobile,user16,162.42.153.53,txn-0028,retirar,ahorros,completada,3065186.73
2025-05-13 08:00:39,api,user13,184.238.242.185,txn-0029,transferir,ahorros,completada,4946976.2
2025-05-13 08:00:40,api,user4,153.109.4.195,txn-0030,consignar,ahorros,completada,744558.14
2025-05-13 08:00:41,api,user33,66.174.121.142,txn-0031,transferir,corriente,completada,2852789.28
2025-05-13 08:00:42,mobile,user55,72.167.213.216,txn-0032,retirar,ahorros,completada,4506890.21
2025-05-13 08:00:43,mobile,user76,203.151.251.195,txn-0033,consignar,ahorros,completada,1339547.15
2025-05-13 08:00:44,mobile,user40,211.214.206.147,txn-0034,transferir,corriente,completada,3087717.43
2025-05-13 08:00:45,api,user87,22.18.71.122,txn-0035,transferir,ahorros,completada,1842940.98
2025-05-13 08:00:46,api,user20,66.255.156.21,txn-0036,transferir,ahorros,completada,2660251.78
2025-05-13 08:00:47,api,user31,103.88.108.136,txn-0037,retirar,corriente,completada,2003623.65
2025-05-13 08:00:48,mobile,user43,152.36.123.38,txn-0038,retirar,corriente,completada,1640791.74
2025-05-13 08:00:49,api,user32,91.50.145.193,txn-0039,retirar,corriente,completada,3263208.83
2025-05-13 08:00:51,web,user79,94.84.41.102,txn-0041,transferir,corriente,completada,2496628.96
2025-05-13 08:00:52,api,user43,74.24.110.60,txn-0042,retirar,corriente,completada,2067949.39
2025-05-13 08:00:53,web,user44,9.35.215.143,txn-0043,retirar,corriente,completada,3967249.93
2025-05-13 08:00:54,api,user45,219.151.212.140,txn-0044,consignar,ahorros,completada,2853642.5
2025-05-13 08:00:55,mobile,user97,156.108.234.86,txn-0045,consignar,ahorros,completada,300931.1
2025-05-13 08:00:56,web,user21,139.152.176.106,txn-0046,transferir,ahorros,completada,2015863.98
2025-05-13 08:00:57,mobile,user94,52.58.255.57,txn-0047,transferir,corriente,completada,3046462.58
2025-05-13 08:00:58,mobile,user93,4.148.252.116,txn-0048,transferir,corriente,completada,2245669.25
2025-05-13 08:00:59,mobile,user16,178.38.233.75,txn-0049,transferir,ahorros,completada,3541388.7
2025-05-13 08:01:00,mobile,user64,2.197.202.104,txn-0050,transferir,ahorros,completada,662893.51
2025-05-13 08:01:01,api,user43,71.176.37.155,txn-0051,consignar,ahorros,completada,4813972.02
2025-05-13 08:01:02,web,user71,58.6.82.39,txn-0052,consignar,corriente,completada,3882318.26
2025-05-13 08:01:03,mobile,user44,100.156.99.244,txn-0053,transferir,corriente,completada,4865136.34
2025-05-13 08:01:04,mobile,user88,148.31.147.37,txn-0054,transferir,corriente,completada,4450775.31
2025-05-13 08:01:05,mobile,user15,52.77.24.127,txn-0055,consignar,corriente,completada,3888159.78
2025-05-13 08:01:06,api,user48,174.56.74.55,txn-0056,retirar,ahorros,completada,3654337.93
2025-05-13 08:01:08,mobile,user71,158.237.114.185,txn-0058,consignar,corriente,completada,2110882.96
2025-05-13 08:01:09,web,user35,198.194.249.43,txn-0059,transferir,ahorros,completada,2813766.88
2025-05-13 08:01:10,web,user65,101.106.135.214,txn-0060,retirar,corriente,completada,4365279.0
2025-05-13 08:01:12,mobile,user57,39.161.142.37,txn-0062,consignar,corriente,completada,2488600.38
2025-05-13 08:01:13,web,user31,153.203.124.111,txn-0063,transferir,corriente,completada,3457991.7
2025-05-13 08:01:14,api,user91,66.209.77.6,txn-0064,retirar,corriente,completada,3979622.72
2025-05-13 08:01:16,api,user100,130.168.77.190,txn-0066,transferir,ahorros,completada,1093410.07
2025-05-13 08:01:17,web,user42,211.63.248.127,txn-0067,transferir,corriente,completada,3678041.96
2025-05-13 08:01:18,api,user62,47.49.92.3,txn-0068,consignar,corriente,completada,191528.57
2025-05-13 08:01:19,api,user42,171.190.154.242,txn-0069,consignar,corriente,completada,2656673.92
2025-05-13 08:01:20,mobile,user19,190.3.190.7,txn-0070,consignar,ahorros,completada,4772842.36
2025-05-13 08:01:21,api,user78,184.80.98.128,txn-0071,retirar,ahorros,completada,4735608.89
2025-05-13 08:01:22,api,user35,38.154.114.58,txn-0072,consignar,ahorros,completada,3466176.94
2025-05-13 08:01:23,web,user56,62.182.144.153,txn-0073,retirar,ahorros,completada,1930975.68
2025-05-13 08:01:25,web,user6,36.117.249.250,txn-0075,consignar,corriente,completada,427479.19
2025-05-13 08:01:26,web,user9,205.25.115.192,txn-0076,consignar,ahorros,completada,1166859.11
2025-05-13 08:01:27,api,user24,75.251.212.232,txn-0077,transferir,ahorros,completada,1131871.82
2025-05-13 08:01:28,web,user6,90.196.43.202,txn-0078,transferir,ahorros,completada,3944011.0
2025-05-13 08:01:29,api,user30,192.133.159.178,txn-0079,retirar,ahorros,completada,796546.84
2025-05-13 08:01:30,mobile,user15,186.100.168.201,txn-0080,retirar,ahorros,completada,2273311.85
2025-05-13 08:01:31,web,user67,124.26.132.216,txn-0081,retirar,ahorros,completada,1582423.89
2025-05-13 08:01:32,web,user52,162.74.104.90,txn-0082,consignar,ahorros,completada,137245.33
2025-05-13 08:01:34,mobile,user61,22.48.224.5,txn-0084,consignar,ahorros,completada,1603354.57
2025-05-13 08:01:35,api,user75,42.244.56.5,txn-0085,transferir,ahorros,completada,1016470.02
2025-05-13 08:01:36,api,user41,27.246.169.159,txn-0086,consignar,corriente,completada,3726910.44
2025-05-13 08:01:37,api,user73,140.177.152.241,txn-0087,transferir,corriente,completada,3597983.05
2025-05-13 08:01:38,mobile,user11,195.4.145.226,txn-0088,retirar,corriente,completada,1564741.81
2025-05-13 08:01:39,mobile,user79,10.241.131.215,txn-0089,consignar,ahorros,completada,4884200.17
2025-05-13 08:01:40,api,user21,48.92.48.115,txn-0090,retirar,ahorros,completada,3593584.98
2025-05-13 08:01:41,mobile,user61,145.50.29.8,txn-0091,transferir,corriente,completada,3299796.16
2025-05-13 08:01:42,api,user13,101.213.242.239,txn-0092,consignar,corriente,completada,91089.65
2025-05-13 08:01:43,mobile,user50,97.203.56.234,txn-0093,retirar,ahorros,completada,4477859.96
2025-05-13 08:01:44,web,user91,130.192.33.167,txn-0094,transferir,ahorros,completada,2993073.13
2025-05-13 08:01:45,web,user82,19.169.239.127,txn-0095,retirar,corriente,completada,3425992.77
2025-05-13 08:01:46,web,user29,102.228.32.90,txn-0096,retirar,corriente,completada,4364147.63
2025-05-13 08:01:47,api,user69,16.48.180.5,txn-0097,retirar,ahorros,completada,2182054.13
2025-05-13 08:01:48,mobile,user87,50.90.213.54,txn-0098,consignar,corriente,completada,4702771.19
