timestamp,canal,usuario,ip,transaction_id,tipo,cuenta,estado,valor,nivel_log,direction,operation,status_code,latency_ms,user_id,modulo,resultado_validación,motivo_fallo,módulo,verificaciones_realizadas
2025-05-13 08:00:00,,,198.81.20.19,txn-0000,,,,,,,,,,user65,,Aprobada,,mobile,['frecuencia']
2025-05-13 08:00:05,,,198.81.20.19,txn-0000,,,,,INFO,request,consignar,200.0,,user65,mobile,,,,
2025-05-13 08:00:06,,,198.81.20.19,txn-0000,,,,,INFO,response,consignar,200.0,272.0,user65,mobile,,,,
2025-05-13 08:00:10,mobile,user65,198.81.20.19,txn-0000,consignar,ahorros,completada,429947.36,,,,,,,,,,,
2025-05-13 08:00:01,,,92.100.49.61,txn-0001,,,,,,,,,,user94,,Aprobada,,mobile,"['token', 'frecuencia', 'geolocalización']"
2025-05-13 08:00:06,,,92.100.49.61,txn-0001,,,,,INFO,request,retirar,200.0,,user94,mobile,,,,
2025-05-13 08:00:07,,,92.100.49.61,txn-0001,,,,,INFO,response,retirar,200.0,143.0,user94,mobile,,,,
2025-05-13 08:00:11,mobile,user94,92.100.49.61,txn-0001,retirar,ahorros,completada,1466275.85,,,,,,,,,,,
2025-05-13 08:00:02,,,35.10.214.169,txn-0002,,,,,,,,,,user93,,Aprobada,,mobile,"['geolocalización', 'token', 'blacklist']"
2025-05-13 08:00:07,,,35.10.214.169,txn-0002,,,,,INFO,request,transferir,200.0,,user93,mobile,,,,
2025-05-13 08:00:08,,,35.10.214.169,txn-0002,,,,,INFO,response,transferir,200.0,173.0,user93,mobile,,,,
2025-05-13 08:00:12,mobile,user93,35.10.214.169,txn-0002,transferir,ahorros,completada,3764977.62,,,,,,,,,,,
2025-05-13 08:00:03,,,155.165.170.170,txn-0003,,,,,,,,,,user39,,Aprobada,,api,"['blacklist', 'geolocalización', 'frecuencia']"
2025-05-13 08:00:08,,,155.165.170.170,txn-0003,,,,,INFO,request,transferir,200.0,,user39,api,,,,
2025-05-13 08:00:09,,,155.165.170.170,txn-0003,,,,,INFO,response,transferir,200.0,75.0,user39,api,,,,
2025-05-13 08:00:13,api,user39,155.165.170.170,txn-0003,transferir,corriente,completada,4780695.73,,,,,,,,,,,
2025-05-13 08:00:04,,,137.102.49.12,txn-0004,,,,,,,,,,user88,,Aprobada,,mobile,['geolocalización']
2025-05-13 08:00:09,,,137.102.49.12,txn-0004,,,,,INFO,request,transferir,200.0,,user88,mobile,,,,
2025-05-13 08:00:10,,,137.102.49.12,txn-0004,,,,,INFO,response,transferir,200.0,291.0,user88,mobile,,,,
2025-05-13 08:00:14,mobile,user88,137.102.49.12,txn-0004,transferir,ahorros,completada,3808884.49,,,,,,,,,,,
2025-05-13 08:00:05,,,125.126.156.72,txn-0005,,,,,,,,,,user92,,Aprobada,,mobile,['token']
2025-05-13 08:00:10,,,125.126.156.72,txn-0005,,,,,INFO,request,retirar,200.0,,user92,mobile,,,,
2025-05-13 08:00:11,,,125.126.156.72,txn-0005,,,,,INFO,response,retirar,200.0,91.0,user92,mobile,,,,
2025-05-13 08:00:15,mobile,user92,125.126.156.72,txn-0005,retirar,ahorros,completada,3744519.61,,,,,,,,,,,
2025-05-13 08:00:06,,,183.205.52.219,txn-0006,,,,,,,,,,user37,,Aprobada,,mobile,"['token', 'blacklist', 'geolocalización']"
2025-05-13 08:00:11,,,183.205.52.219,txn-0006,,,,,INFO,request,consignar,200.0,,user37,mobile,,,,
2025-05-13 08:00:12,,,183.205.52.219,txn-0006,,,,,INFO,response,consignar,200.0,200.0,user37,mobile,,,,
2025-05-13 08:00:16,mobile,user37,183.205.52.219,txn-0006,consignar,corriente,completada,3576866.89,,,,,,,,,,,
2025-05-13 08:00:07,,,26.46.150.120,txn-0007,,,,,,,,,,user49,,Aprobada,,mobile,['blacklist']
2025-05-13 08:00:12,,,26.46.150.120,txn-0007,,,,,INFO,request,consignar,200.0,,user49,mobile,,,,
2025-05-13 08:00:13,,,26.46.150.120,txn-0007,,,,,INFO,response,consignar,200.0,200.0,user49,mobile,,,,
2025-05-13 08:00:17,mobile,user49,26.46.150.120,txn-0007,consignar,corriente,completada,1445980.53,,,,,,,,,,,
2025-05-13 08:00:08,,,180.91.122.212,txn-0008,,,,,,,,,,user34,,Aprobada,,mobile,['geolocalización']
2025-05-13 08:00:13,,,180.91.122.212,txn-0008,,,,,INFO,request,consignar,200.0,,user34,mobile,,,,
